extraction_date,source,extraction_method,id,title,subtitle,url,price_text,price,surface_text,surface,is_discounted,exclusive,best_offer,country,ad_type,agency_id,rooms,bathrooms,images_count,main_image,property_id,location,_id,created_date,_rev,previous_price_text,previous_price,discount_text,discount
2025-06-30T13:31:41.860098,tecnocasa.tn,json,55742,Terrain habitation ind. en vente,Monastir - Skanes La Falaise,https://www.tecnocasa.tn/vendre/terrain/monastir/monastir/55742.html,715 200 DT,715200.0,596 m²,596.0,False,False,False,tn,estate,moca1,,,1,https://cdn-media.medialabtc.it/tn/agencies/moca1/estates/55742/images/295288/card.jpeg,01b0b71a24b6,Monastir - Skanes La Falaise,01b0b71a24b6,2025-06-30T13:31:42.052054,1-cfbfb695c03cb66b374a4f103af1e6cd,,,,
2025-06-30T13:31:41.860113,tecnocasa.tn,json,52015,Terrain agricole en vente,"Bekalta, Rue Dimess",https://www.tecnocasa.tn/vendre/terrain/monastir/bekalta/52015.html,220 000 DT,220000.0,687 m²,687.0,False,False,False,tn,estate,moca9,,,1,https://cdn-media.medialabtc.it/tn/agencies/moca9/estates/52015/images/263648/card.jpeg,e34fc728a1a5,"Bekalta, Rue Dimess",e34fc728a1a5,2025-06-30T13:31:42.057502,1-783e8360e3e7f7757297825736e030b2,,,,
2025-06-30T13:31:41.860129,tecnocasa.tn,json,55453,Terrain habitation ind. en vente,Monastir - Cité Erriadh,https://www.tecnocasa.tn/vendre/terrain/monastir/monastir/55453.html,345 000 DT,345000.0,299 m²,299.0,False,False,False,tn,estate,moca1,,,1,https://cdn-media.medialabtc.it/tn/agencies/moca1/estates/55453/images/293201/card.jpeg,3fa7444ddd5a,Monastir - Cité Erriadh,3fa7444ddd5a,2025-06-30T13:31:42.064843,1-5575f45eb13a680727be3ed425fc1e77,340 000 DT,340000.0,-5 000 DT,5000.0
2025-06-30T13:31:41.860151,tecnocasa.tn,json,54942,Terrain habitation ind. en vente,"Teboulba, Beach pavillion 1 [1], 5080 TÉBOULBA (ms)",https://www.tecnocasa.tn/vendre/terrain/monastir/teboulba/54942.html,666 000 DT,666000.0,1200 m²,1200.0,False,False,False,tn,estate,moca8,,,1,https://cdn-media.medialabtc.it/tn/agencies/moca8/estates/54942/images/293712/card.jpeg,6d0ffe56d626,"Teboulba, Beach pavillion 1 [1], 5080 TÉBOULBA (ms)",6d0ffe56d626,2025-06-30T13:31:42.072386,1-bf7661104c35dc70c20f9593f014a325,,,,
2025-06-30T13:31:41.860166,tecnocasa.tn,json,55509,Terrain habitation collective en vente,"Teboulba, Fadhelin 7 [7], 5080 TÉBOULBA (ms)",https://www.tecnocasa.tn/vendre/terrain/monastir/teboulba/55509.html,850 000 DT,850000.0,1700 m²,1700.0,False,False,False,tn,estate,moca8,,,1,https://cdn-media.medialabtc.it/tn/agencies/moca8/estates/55509/images/293737/card.jpeg,c9eabf521f60,"Teboulba, Fadhelin 7 [7], 5080 TÉBOULBA (ms)",c9eabf521f60,2025-06-30T13:31:42.079317,1-c0a953744fbe0ee51d0003a5cf7a896b,,,,
2025-06-30T13:31:41.985907,tecnocasa.tn,json,54828,Terrain habitation ind. en vente,"Teboulba, Avenue taieb el mheri moknine",https://www.tecnocasa.tn/vendre/terrain/monastir/teboulba/54828.html,60 000 DT,60000.0,302 m²,302.0,False,False,False,tn,estate,moca8,,,1,https://cdn-media.medialabtc.it/tn/agencies/moca8/estates/54828/images/293622/card.jpeg,b50d8daac84c,"Teboulba, Avenue taieb el mheri moknine",b50d8daac84c,2025-06-30T13:31:42.086293,1-8cc30bb7b013007e4372a55c635f3745,,,,
2025-06-30T13:31:41.985964,tecnocasa.tn,json,55243,Terrain agricole en vente,"Teboulba, Rue  rass hriz",https://www.tecnocasa.tn/vendre/terrain/monastir/teboulba/55243.html,920 368 DT,920368.0,11224 m²,11224.0,False,False,False,tn,estate,moca8,,,1,https://cdn-media.medialabtc.it/tn/agencies/moca8/estates/55243/images/293602/card.jpeg,1fa2ad616b05,"Teboulba, Rue  rass hriz",1fa2ad616b05,2025-06-30T13:31:42.092199,1-870ec2247ae60c396dc114bc511ad9e1,,,,
2025-06-30T13:31:41.985975,tecnocasa.tn,json,55387,Terrain habitation collective en vente,Ksar Hellal,https://www.tecnocasa.tn/vendre/terrain/monastir/ksar-hellal/55387.html,365 000 DT,365000.0,921 m²,921.0,False,False,False,tn,estate,moca5,,,1,https://cdn-media.medialabtc.it/tn/agencies/moca5/estates/55387/images/291893/card.jpeg,90fa6577127f,Ksar Hellal,90fa6577127f,2025-06-30T13:31:42.097500,1-2b33d8c523646d653465e003a9892214,230 000 DT,230000.0,-135 000 DT,135000.0
2025-06-30T13:31:41.985987,tecnocasa.tn,json,53490,Terrain habitation ind. en vente,"Monastir, Rue mahmoud abbes - Skanes",https://www.tecnocasa.tn/vendre/terrain/monastir/monastir/53490.html,280 000 DT,280000.0,235 m²,235.0,False,False,False,tn,estate,moca3,,,1,https://cdn-media.medialabtc.it/tn/agencies/moca3/estates/53490/images/292243/card.jpeg,8dda348e35ee,"Monastir, Rue mahmoud abbes - Skanes",8dda348e35ee,2025-06-30T13:31:42.103625,1-5ecae179385b16851d6b7f2547e80109,,,,
2025-06-30T13:31:41.985996,tecnocasa.tn,json,54813,Terrain habitation ind. en vente,"Monastir, Rue mahmoud abbes - Skanes",https://www.tecnocasa.tn/vendre/terrain/monastir/monastir/54813.html,330 000 DT,330000.0,236 m²,236.0,False,False,False,tn,estate,moca3,,,1,https://cdn-media.medialabtc.it/tn/agencies/moca3/estates/54813/images/292240/card.jpeg,d8937583021b,"Monastir, Rue mahmoud abbes - Skanes",d8937583021b,2025-06-30T13:31:42.110409,1-362161c38b24d0c8741961ff74ce514f,,,,
2025-06-30T13:31:41.986003,tecnocasa.tn,json,55377,Terrain habitation collective en vente,"Monastir, Ksibet El Mediouni - Ksibet El Mediouni",https://www.tecnocasa.tn/vendre/terrain/monastir/monastir/55377.html,120 000 DT,120000.0,120 m²,120.0,False,False,False,tn,estate,moca6,,,1,https://cdn-media.medialabtc.it/tn/agencies/moca6/estates/55377/images/291770/card.jpeg,3a5bd8388a8c,"Monastir, Ksibet El Mediouni - Ksibet El Mediouni",3a5bd8388a8c,2025-06-30T13:31:42.116889,1-cad2b5a866b07f1af027aa794d526b42,,,,
2025-06-30T13:31:41.986011,tecnocasa.tn,json,55322,Terrain habitation ind. en vente,"Monastir, Nadhour, Ksibet elmediouni - Ksibet El Mediouni",https://www.tecnocasa.tn/vendre/terrain/monastir/monastir/55322.html,90 000 DT,90000.0,178 m²,178.0,False,False,False,tn,estate,moca6,,,1,https://cdn-media.medialabtc.it/tn/agencies/moca6/estates/55322/images/291355/card.jpeg,4cdb7a48e75c,"Monastir, Nadhour, Ksibet elmediouni - Ksibet El Mediouni",4cdb7a48e75c,2025-06-30T13:31:42.122761,1-e209752930363e090f9af3ef151ba9eb,,,,
2025-06-30T13:31:41.986019,tecnocasa.tn,json,53631,Terrain agricole en vente,Bekalta,https://www.tecnocasa.tn/vendre/terrain/monastir/bekalta/53631.html,"<span class=""trattativaRiservata"">Informations en agence</span>",,1250 m²,1250.0,False,False,False,tn,estate,moca9,,,1,https://cdn-media.medialabtc.it/tn/agencies/moca9/estates/53631/images/286519/card.jpeg,032ef28a3af1,Bekalta,032ef28a3af1,2025-06-30T13:31:42.130419,1-0e71d770371b9f1c72c0dcc3e4b7ccf4,,,,
2025-06-30T13:31:41.986035,tecnocasa.tn,json,54376,Terrain habitation ind. en vente,"Bekalta, Hmedet Younes",https://www.tecnocasa.tn/vendre/terrain/monastir/bekalta/54376.html,47 000 DT,47000.0,169 m²,169.0,False,False,False,tn,estate,moca9,,,1,https://cdn-media.medialabtc.it/tn/agencies/moca9/estates/54376/images/286505/card.jpeg,e4110488fd36,"Bekalta, Hmedet Younes",e4110488fd36,2025-06-30T13:31:42.135427,1-054e9f60eefdbc4ae714486513f0aced,,,,
2025-06-30T13:31:41.986042,tecnocasa.tn,json,54829,Terrain agricole en vente,Bekalta,https://www.tecnocasa.tn/vendre/terrain/monastir/bekalta/54829.html,"<span class=""trattativaRiservata"">Informations en agence</span>",,6582 m²,6582.0,False,False,False,tn,estate,moca9,,,1,https://cdn-media.medialabtc.it/tn/agencies/moca9/estates/54829/images/286504/card.jpeg,8625378a978b,Bekalta,8625378a978b,2025-06-30T13:31:42.141835,1-a48521de4b3fe816ac3f7ca4ea38f5de,,,,
2025-06-30T13:31:41.986058,tecnocasa.tn,json,50875,Terrain habitation collective en vente,Ksar Hellal,https://www.tecnocasa.tn/vendre/terrain/monastir/ksar-hellal/50875.html,287 000 DT,287000.0,586 m²,586.0,False,False,False,tn,estate,moca5,,,1,https://cdn-media.medialabtc.it/tn/agencies/moca5/estates/50875/images/250836/card.jpeg,02471315b930,Ksar Hellal,02471315b930,2025-06-30T13:31:42.148437,1-1719d6e48ea3860032d267f122b18566,290 000 DT,290000.0,3 000 DT,3000.0
2025-06-30T13:31:41.986068,tecnocasa.tn,json,49875,Terrain habitation collective en vente,Ksar Hellal,https://www.tecnocasa.tn/vendre/terrain/monastir/ksar-hellal/49875.html,840 000 DT,840000.0,1062 m²,1062.0,False,False,False,tn,estate,moca5,,,1,https://cdn-media.medialabtc.it/tn/agencies/moca5/estates/49875/images/241528/card.jpeg,9fb8b8da10f6,Ksar Hellal,9fb8b8da10f6,2025-06-30T13:31:42.155233,1-ee6c2ca3dded453c0376ed831c2e1736,850 000 DT,850000.0,10 000 DT,10000.0
2025-06-30T13:31:41.986078,tecnocasa.tn,json,55161,Terrain agricole en vente,"Monastir, Rue Zone Frina 2 - Frina",https://www.tecnocasa.tn/vendre/terrain/monastir/monastir/55161.html,110 000 DT,110000.0,343 m²,343.0,False,False,False,tn,estate,moca6,,,1,https://cdn-media.medialabtc.it/tn/agencies/moca6/estates/55161/images/289251/card.jpeg,1b26e9ac3471,"Monastir, Rue Zone Frina 2 - Frina",1b26e9ac3471,2025-06-30T13:31:42.161347,1-4e29ff66729c758eb2bcdf11397c6efa,,,,
2025-06-30T13:31:41.986086,tecnocasa.tn,json,49784,Terrain habitation ind. en vente,"Monastir, Ksibet el mediouni cité nadhour - Ksibet El Mediouni",https://www.tecnocasa.tn/vendre/terrain/monastir/monastir/49784.html,240 000 DT,240000.0,1050 m²,1050.0,True,False,False,tn,estate,moca6,,,1,https://cdn-media.medialabtc.it/tn/agencies/moca6/estates/49784/images/268345/card.jpeg,6edd5f8c6c30,"Monastir, Ksibet el mediouni cité nadhour - Ksibet El Mediouni",6edd5f8c6c30,2025-06-30T13:31:42.166635,1-ed4df9b415e8104fee39141732e00a9d,280 000 DT,280000.0,40 000 DT,40000.0
2025-06-30T13:31:41.986096,tecnocasa.tn,json,53287,Terrain habitation ind. en vente,"Bekalta, Rue mohamed taii",https://www.tecnocasa.tn/vendre/terrain/monastir/bekalta/53287.html,51 000 DT,51000.0,182 m²,182.0,False,False,False,tn,estate,moca9,,,1,https://cdn-media.medialabtc.it/tn/agencies/moca9/estates/53287/images/286312/card.jpeg,34f8a387685d,"Bekalta, Rue mohamed taii",34f8a387685d,2025-06-30T13:31:42.172162,1-956c9a357a4bdb2399d640136e57d773,,,,
