City,Title,Type,Price,Surface,Location,URL,Image,Reference,Page
Sfax,Terrain habitation ind. en vente,,340000,649,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/54104.html,,,6
Sfax,Terrain habitation ind. en vente,,240000,608,Sfax - Bouzayen,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50597.html,,,6
Sfax,Terrain habitation ind. en vente,,280000,778,Sfax - Route Ain,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/53005.html,,,6
Sfax,Terrain habitation ind. en vente,,235000,525,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/49347.html,,,6
Sfax,Terrain habitation ind. en vente,,445000,1360,Sfax - Route Lafrane,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/48778.html,,,6
Sfax,Terrain habitation collective en vente,,330000,330,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50452.html,,,6
Sfax,Terrain habitation ind. en vente,,280000,657,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50049.html,,,6
Sfax,Terrain habitation ind. en vente,,430000,1051,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/52338.html,,,7
Sfax,Terrain habitation ind. en vente,,340000,649,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/54104.html,,,7
Sfax,Terrain habitation ind. en vente,,240000,608,Sfax - Bouzayen,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50597.html,,,7
Sfax,Terrain habitation ind. en vente,,280000,778,Sfax - Route Ain,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/53005.html,,,7
Sfax,Terrain habitation ind. en vente,,235000,525,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/49347.html,,,7
Sfax,Terrain habitation ind. en vente,,445000,1360,Sfax - Route Lafrane,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/48778.html,,,7
Sfax,Terrain habitation collective en vente,,330000,330,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50452.html,,,7
Sfax,Terrain habitation ind. en vente,,280000,657,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50049.html,,,7
Sfax,Terrain habitation ind. en vente,,430000,1051,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/52338.html,,,8
Sfax,Terrain habitation ind. en vente,,340000,649,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/54104.html,,,8
Sfax,Terrain habitation ind. en vente,,240000,608,Sfax - Bouzayen,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50597.html,,,8
Sfax,Terrain habitation ind. en vente,,280000,778,Sfax - Route Ain,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/53005.html,,,8
Sfax,Terrain habitation ind. en vente,,235000,525,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/49347.html,,,8
Sfax,Terrain habitation ind. en vente,,445000,1360,Sfax - Route Lafrane,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/48778.html,,,8
Sfax,Terrain habitation collective en vente,,330000,330,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50452.html,,,8
Sfax,Terrain habitation ind. en vente,,280000,657,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50049.html,,,8
Sfax,Terrain habitation ind. en vente,,430000,1051,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/52338.html,,,9
Sfax,Terrain habitation ind. en vente,,340000,649,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/54104.html,,,9
Sfax,Terrain habitation ind. en vente,,240000,608,Sfax - Bouzayen,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50597.html,,,9
Sfax,Terrain habitation ind. en vente,,280000,778,Sfax - Route Ain,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/53005.html,,,9
Sfax,Terrain habitation ind. en vente,,235000,525,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/49347.html,,,9
Sfax,Terrain habitation ind. en vente,,445000,1360,Sfax - Route Lafrane,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/48778.html,,,9
Sfax,Terrain habitation collective en vente,,330000,330,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50452.html,,,9
Sfax,Terrain habitation ind. en vente,,280000,657,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50049.html,,,9
Sfax,Terrain habitation ind. en vente,,430000,1051,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/52338.html,,,10
Sfax,Terrain habitation ind. en vente,,340000,649,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/54104.html,,,10
