City,Title,Type,Price,Surface,Location,URL,Image,Reference,Page
Kairouan,Terrain habitation ind. en vente,,270 000 DT,540 m²,"Kairouan, Rue Afh1",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/52173.html,,,1
Kairouan,Terrain habitation ind. en vente,,250 000 DT,454 m²,"Kairouan, Rue Afh5",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/52145.html,,,1
Kairouan,Terrain habitation ind. en vente,,80 000 DT,784 m²,"Kairouan, Route  de ceinture",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/47196.html,,,1
Kairouan,Terrain agricole en vente,,85 000 DT,367 m²,"Kairouan, Rote raccada",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/44352.html,,,1
Kairouan,Terrain agricole en vente,,115 000 DT,400 m²,"Kairouan, Route Raccada",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/44351.html,,,2
Kairouan,Terrain agricole en vente,,40 000 DT,500 m²,"Kairouan, Route Dheraa,",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/41439.html,,,2
Kairouan,Terrain habitation ind. en vente,,180 000 DT,300 m²,"Kairouan, Cité Manar",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/43804.html,,,2
Kairouan,Terrain agricole en vente,,65 000 DT,1000 m²,"Kairouan, Rue Gatrania lotissement Ben Said",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/40596.html,,,2
Kairouan,Terrain habitation ind. en vente,,70 000 DT,250 m²,"Kairouan, Cité okba",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/43708.html,,,2
Kairouan,Terrain habitation ind. en vente,,88 000 DT,176 m²,"Kairouan, Sahabi 4",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/46708.html,,,2
Kairouan,Terrain habitation ind. en vente,,53 680 DT,244 m²,"Kairouan, Route sousse",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/44958.html,,,2
Kairouan,Terrain agricole en vente,,120 000 DT,600 m²,"Kairouan, Afh 4",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/49288.html,,,2
Kairouan,Terrain habitation ind. en vente,,170 000 DT,554 m²,"Kairouan, Av. Mohamed Ibn Sahnoun",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/43945.html,,,2
Kairouan,Terrain habitation ind. en vente,,109 000 DT,312 m²,"Kairouan, Rue Afh",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/44927.html,,,2
Kairouan,Terrain habitation ind. en vente,,280 000 DT,572 m²,"Kairouan, Rue haffouz cité arousi [5], 3100 KAIROUAN (ka)",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/55493.html,,,3
Kairouan,Terrain habitation collective en vente,,76 380 DT,402 m²,"Kairouan, Route Kairouan Sousse",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/55606.html,,,3
