City,Title,Type,Price,Surface,Location,URL,Image,Reference,Page,price_per_m2
Sousse,Terrain habitation ind. en vente,habitation,310000.0,459,"Sousse Centre Ville, Cité olympique - Bouhsina",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/43392.html,,,1,675.3812636165577
Sousse,Terrain habitation ind. en vente,habitation,237000.0,304,"Sousse Centre Ville, Cité olympique - Bouhsina",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/55397.html,,,1,779.6052631578947
Sousse,Terrain habitation ind. en vente,habitation,247000.0,353,"Sousse Centre Ville, Rue Farabi - Bouhsina",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/48067.html,,,1,699.7167138810198
Sousse,Terrain habitation ind. en vente,habitation,435000.0,414,Sousse Centre Ville - Bouhsina,https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/54114.html,,,1,1050.7246376811595
Sousse,Terrain habitation collective en vente,habitation,401000.0,501,"Sousse Riadh, Avenue imam abou hannifa - Cité Riadh",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-riadh/52625.html,,,1,800.3992015968064
Sousse,Terrain habitation ind. en vente,habitation,271000.0,417,"M'Saken, Cité Ennour",https://www.tecnocasa.tn/vendre/terrain/sousse/m-saken/55601.html,,,1,649.8800959232614
Sousse,Terrain habitation ind. en vente,habitation,440000.0,553,Sousse Centre Ville - Bouhsina,https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/55281.html,,,1,795.6600361663653
Sousse,Terrain habitation ind. en vente,habitation,220000.0,399,"Hergla, Rue nozha",https://www.tecnocasa.tn/vendre/terrain/sousse/hergla/55436.html,,,1,551.3784461152882
Sousse,Terrain habitation ind. en vente,habitation,167400.0,372,"M'Saken, Rue m'saken",https://www.tecnocasa.tn/vendre/terrain/sousse/m-saken/55313.html,,,1,450.0
Sousse,Terrain habitation ind. en vente,habitation,111000.0,285,Akouda,https://www.tecnocasa.tn/vendre/terrain/sousse/akouda/53411.html,,,1,389.4736842105263
Sousse,Terrain habitation collective en vente,habitation,544000.0,544,"Sousse Centre Ville, Hamid El Ghazeli - Bouhsina",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/51531.html,,,1,1000.0
Sousse,Terrain habitation ind. en vente,habitation,310000.0,565,"Hergla, Centre ville Hergla",https://www.tecnocasa.tn/vendre/terrain/sousse/hergla/54710.html,,,1,548.6725663716815
Sousse,Terrain industriel en vente,,550000.0,1100,Akouda,https://www.tecnocasa.tn/vendre/terrain/sousse/akouda/54458.html,,,1,500.0
Sousse,Terrain habitation ind. en vente,habitation,232000.0,830,Akouda,https://www.tecnocasa.tn/vendre/terrain/sousse/akouda/52883.html,,,1,279.51807228915663
