City,Title,Type,Price,Surface,Location,URL,Image,Reference,Page,price_per_m2
Bizerte,Terrain habitation ind. en vente,,595000,540,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/47192.html,,,16,1101.851851851852
Bizerte,Terrain habitation ind. en vente,,144000,180,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/45894.html,,,16,800.0
Bizerte,Terrain habitation ind. en vente,,290000,414,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/47265.html,,,16,700.4830917874397
Bizerte,Terrain habitation ind. en vente,,562900,866,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/48189.html,,,16,650.0
Bizerte,Terrain habitation ind. en vente,,820400,2344,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/51581.html,,,16,350.0
Bizerte,Terrain agricole en vente,,80000,6025,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/50898.html,,,16,13.278008298755188
Bizerte,Terrain habitation ind. en vente,,720000,576,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/45665.html,,,16,1250.0
Bizerte,Terrain habitation ind. en vente,,595000,540,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/47192.html,,,17,1101.851851851852
Bizerte,Terrain habitation ind. en vente,,144000,180,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/45894.html,,,17,800.0
Bizerte,Terrain habitation ind. en vente,,290000,414,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/47265.html,,,17,700.4830917874397
Bizerte,Terrain habitation ind. en vente,,562900,866,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/48189.html,,,17,650.0
Bizerte,Terrain habitation ind. en vente,,820400,2344,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/51581.html,,,17,350.0
Bizerte,Terrain agricole en vente,,80000,6025,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/50898.html,,,17,13.278008298755188
Bizerte,Terrain habitation ind. en vente,,720000,576,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/45665.html,,,17,1250.0
Bizerte,Terrain habitation ind. en vente,,595000,540,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/47192.html,,,18,1101.851851851852
Bizerte,Terrain habitation ind. en vente,,144000,180,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/45894.html,,,18,800.0
Bizerte,Terrain habitation ind. en vente,,290000,414,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/47265.html,,,18,700.4830917874397
Bizerte,Terrain habitation ind. en vente,,562900,866,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/48189.html,,,18,650.0
Bizerte,Terrain habitation ind. en vente,,820400,2344,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/51581.html,,,18,350.0
Bizerte,Terrain agricole en vente,,80000,6025,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/50898.html,,,18,13.278008298755188
Bizerte,Terrain habitation ind. en vente,,720000,576,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/45665.html,,,18,1250.0
Bizerte,Terrain habitation ind. en vente,,595000,540,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/47192.html,,,19,1101.851851851852
Bizerte,Terrain habitation ind. en vente,,144000,180,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/45894.html,,,19,800.0
Bizerte,Terrain habitation ind. en vente,,290000,414,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/47265.html,,,19,700.4830917874397
Bizerte,Terrain habitation ind. en vente,,562900,866,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/48189.html,,,19,650.0
Bizerte,Terrain habitation ind. en vente,,820400,2344,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/51581.html,,,19,350.0
Bizerte,Terrain agricole en vente,,80000,6025,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/50898.html,,,19,13.278008298755188
Bizerte,Terrain habitation ind. en vente,,720000,576,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/45665.html,,,19,1250.0
Bizerte,Terrain habitation ind. en vente,,595000,540,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/47192.html,,,20,1101.851851851852
Bizerte,Terrain habitation ind. en vente,,144000,180,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/45894.html,,,20,800.0
Bizerte,Terrain habitation ind. en vente,,290000,414,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/47265.html,,,20,700.4830917874397
Bizerte,Terrain habitation ind. en vente,,562900,866,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/48189.html,,,20,650.0
Bizerte,Terrain habitation ind. en vente,,820400,2344,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/51581.html,,,20,350.0
Bizerte,Terrain agricole en vente,,80000,6025,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/50898.html,,,20,13.278008298755188
Bizerte,Terrain habitation ind. en vente,,720000,576,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/45665.html,,,20,1250.0
