City,Title,Type,Price,Surface,Location,URL,Image,Reference,Page,price_per_m2
Sfax,Terrain habitation ind. en vente,,445000,1360,Sfax - Route Lafrane,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/48778.html,,,5,327.20588235294116
Sfax,Terrain habitation collective en vente,,330000,330,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50452.html,,,5,1000.0
Sfax,Terrain habitation ind. en vente,,280000,657,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50049.html,,,5,426.17960426179604
Sfax,Terrain habitation ind. en vente,,430000,1051,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/52338.html,,,6,409.1341579448145
Sfax,Terrain habitation ind. en vente,,340000,649,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/54104.html,,,6,523.8828967642527
Sfax,Terrain habitation ind. en vente,,240000,608,Sfax - Bouzayen,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50597.html,,,6,394.7368421052632
Sfax,Terrain habitation ind. en vente,,280000,778,Sfax - Route Ain,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/53005.html,,,6,359.8971722365039
Sfax,Terrain habitation ind. en vente,,235000,525,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/49347.html,,,6,447.6190476190476
Sfax,Terrain habitation ind. en vente,,445000,1360,Sfax - Route Lafrane,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/48778.html,,,6,327.20588235294116
Sfax,Terrain habitation collective en vente,,330000,330,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50452.html,,,6,1000.0
Sfax,Terrain habitation ind. en vente,,280000,657,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50049.html,,,6,426.17960426179604
Sfax,Terrain habitation ind. en vente,,430000,1051,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/52338.html,,,7,409.1341579448145
Sfax,Terrain habitation ind. en vente,,340000,649,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/54104.html,,,7,523.8828967642527
Sfax,Terrain habitation ind. en vente,,240000,608,Sfax - Bouzayen,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50597.html,,,7,394.7368421052632
Sfax,Terrain habitation ind. en vente,,280000,778,Sfax - Route Ain,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/53005.html,,,7,359.8971722365039
Sfax,Terrain habitation ind. en vente,,235000,525,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/49347.html,,,7,447.6190476190476
Sfax,Terrain habitation ind. en vente,,445000,1360,Sfax - Route Lafrane,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/48778.html,,,7,327.20588235294116
Sfax,Terrain habitation collective en vente,,330000,330,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50452.html,,,7,1000.0
Sfax,Terrain habitation ind. en vente,,280000,657,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50049.html,,,7,426.17960426179604
Sfax,Terrain habitation ind. en vente,,430000,1051,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/52338.html,,,8,409.1341579448145
Sfax,Terrain habitation ind. en vente,,340000,649,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/54104.html,,,8,523.8828967642527
Sfax,Terrain habitation ind. en vente,,240000,608,Sfax - Bouzayen,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50597.html,,,8,394.7368421052632
Sfax,Terrain habitation ind. en vente,,280000,778,Sfax - Route Ain,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/53005.html,,,8,359.8971722365039
Sfax,Terrain habitation ind. en vente,,235000,525,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/49347.html,,,8,447.6190476190476
Sfax,Terrain habitation ind. en vente,,445000,1360,Sfax - Route Lafrane,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/48778.html,,,8,327.20588235294116
