City,Title,Price,Surface,Location,URL,price_per_m2
Grand Tunis,Terrain habitation collective en vente,666000.0,333,"La Soukra, Rue ibn naji la soukra - Soukra",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-soukra/42756.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,572000.0,286,Jardins d'El Menzah - Jardins D'El Menzah 2,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/jardins-d-el-menzah/54169.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1302000.0,651,"Le Bardo, Rue de Pologne - Bardo",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/le-bardo/54078.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,3704000.0,1852,La Soukra - Chotrana,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-soukra/52012.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1552000.0,776,"Zone Industrielles Nord, Impasse Gharbi - Charguia 2",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/zone-industrielles-nord/51894.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,700000.0,350,La Soukra - Chotrana,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-soukra/47698.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1060000.0,530,La Marsa,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-marsa/53714.html,2000.0
Grand Tunis,Terrain habitation collective en vente,800000.0,400,Gammarth - Gammarth Village,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/gammarth/52214.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,732000.0,366,Mégrine - Megrine,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/megrine/53364.html,2000.0
Grand Tunis,Terrain habitation collective en vente,982000.0,491,"Le Bardo, Rue abou zakarya - Bardo",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/le-bardo/50819.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1000000.0,500,"Le Bardo, Rue de la carte - Bardo",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/le-bardo/53036.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,900000.0,450,Ariana - Riadh Landalous,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/ariana/53157.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1100000.0,550,Ariana - Riadh Landalous,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/ariana/52982.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,764000.0,382,Ariana - Riadh Landalous,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/ariana/51990.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1140000.0,570,"Ariana, Rue essafa cite el ghazela , Ariana - Cité El Ghazala",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/ariana/53337.html,2000.0
