City,Title,Type,Price,Surface,Location,URL,Image,Reference,Page
Mahdia,Terrain habitation ind. en vente,,186426,424,Rejiche,https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/55383.html,,,1
Mahdia,Terrain habitation ind. en vente,,135000,246,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/48629.html,,,1
Mahdia,Terrain habitation ind. en vente,,75620,398,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/49567.html,,,1
Mahdia,Terrain habitation ind. en vente,,260000,500,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/48224.html,,,1
Mahdia,Terrain habitation ind. en vente,,67260,354,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/49566.html,,,1
Mahdia,Terrain habitation ind. en vente,,68400,360,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/49568.html,,,1
Mahdia,Terrain habitation ind. en vente,,68420,311,Chebba,https://www.tecnocasa.tn/vendre/terrain/mahdia/chebba/49919.html,,,1
Mahdia,Terrain agricole en vente,,200000,15186,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/50776.html,,,1
Mahdia,Terrain habitation ind. en vente,,190000,347,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/51847.html,,,1
Mahdia,Terrain habitation ind. en vente,,150000,259,Rejiche,https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/55304.html,,,1
Mahdia,Terrain habitation ind. en vente,,180000,250,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/52407.html,,,1
Mahdia,Terrain habitation ind. en vente,,270000,370,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/52759.html,,,1
Mahdia,Terrain habitation ind. en vente,,231120,578,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/53205.html,,,1
